Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED1,SK6812MINI-E,LED_6028R,19.05,-0.35,90.0,bottom
LED2,SK6812MINI-E,LED_6028R,24.419358,2.9,180.0,bottom
LED3,SK6812MINI-E,LED_6028R,19.05,6.0,0.0,bottom
LED4,SK6812MINI-E,LED_6028R,13.680642,2.9,90.0,bottom
LED5,SK6812MINI-E,LED_6028R,13.680642,-3.3,0.0,bottom
LED6,SK6812MINI-E,LED_6028R,19.05,-6.4,180.0,bottom
LED7,SK6812MINI-E,LED_6028R,24.419358,-3.3,270.0,bottom
R1,10k,R_0402_1005Metric,276.739358,-81.99,270.0,bottom
R2,27R,R_0603_1608Metric,274.604062,-54.426402,270.0,bottom
R3,27R,R_0603_1608Metric,273.017812,-54.426402,270.0,bottom
R4,1k,R_0402_1005Metric,276.059648,-69.919648,135.0,bottom
R5,1k,R_0402_1005Metric,305.100001,-48.225,0.0,bottom
R6,5.1k,R_0402_1005Metric,280.14,6.78,0.0,bottom
R7,5.1k,R_0402_1005Metric,277.07,6.78,180.0,bottom
SW2,SW_HS,SW_MX_HS_1u,0.0,-0.0,0.0,bottom
SW3,SW_HS,SW_MX_HS_1u,38.1,-0.0,0.0,bottom
SW4,SW_HS,SW_MX_HS_1u,57.15,-0.0,0.0,bottom
SW5,SW_HS,SW_MX_HS_1u,76.2,-0.0,0.0,bottom
SW6,SW_HS,SW_MX_HS_1u,95.25,-0.0,0.0,bottom
SW7,SW_HS,SW_MX_HS_1u,123.825,-0.0,0.0,bottom
SW8,SW_HS,SW_MX_HS_1u,142.875,-0.0,0.0,bottom
SW9,SW_HS,SW_MX_HS_1u,161.925,-0.0,0.0,bottom
SW10,SW_HS,SW_MX_HS_1u,180.975,-0.0,0.0,bottom
SW11,SW_HS,SW_MX_HS_1u,209.55,-0.0,0.0,bottom
SW12,SW_HS,SW_MX_HS_1u,228.6,-0.0,0.0,bottom
SW13,SW_HS,SW_MX_HS_1u,247.65,-0.0,0.0,bottom
SW14,SW_HS,SW_MX_HS_1u,266.7,-0.0,0.0,bottom
SW15,SW_HS,SW_MX_HS_1u,290.5125,-0.0,0.0,bottom
SW16,SW_HS,SW_MX_HS_1u,309.5625,-0.0,0.0,bottom
SW17,SW_HS,SW_MX_HS_1u,328.6125,-0.0,0.0,bottom
SW18,SW_HS,SW_MX_HS_1u,0.0,-23.8125,0.0,bottom
SW19,SW_HS,SW_MX_HS_1u,19.05,-23.8125,0.0,bottom
SW20,SW_HS,SW_MX_HS_1u,38.1,-23.8125,0.0,bottom
SW21,SW_HS,SW_MX_HS_1u,57.15,-23.8125,0.0,bottom
SW22,SW_HS,SW_MX_HS_1u,76.2,-23.8125,0.0,bottom
SW23,SW_HS,SW_MX_HS_1u,95.25,-23.8125,0.0,bottom
SW24,SW_HS,SW_MX_HS_1u,114.3,-23.8125,0.0,bottom
SW25,SW_HS,SW_MX_HS_1u,133.35,-23.8125,0.0,bottom
SW26,SW_HS,SW_MX_HS_1u,152.4,-23.8125,0.0,bottom
SW27,SW_HS,SW_MX_HS_1u,171.45,-23.8125,0.0,bottom
SW28,SW_HS,SW_MX_HS_1u,190.5,-23.8125,0.0,bottom
SW29,SW_HS,SW_MX_HS_1u,209.55,-23.8125,0.0,bottom
SW30,SW_HS,SW_MX_HS_1u,228.6,-23.8125,0.0,bottom
SW31,SW_HS,SW_MX_HS_1u,247.65,-23.8125,180.0,bottom
SW32,SW_HS,SW_MX_HS_1u,257.175,-23.8125,0.0,bottom
SW33,SW_HS,SW_MX_HS_1u,266.7,-23.8125,180.0,bottom
SW34,SW_HS,SW_MX_HS_1u,290.5125,-23.8125,0.0,bottom
SW35,SW_HS,SW_MX_HS_1u,309.5625,-23.8125,0.0,bottom
SW36,SW_HS,SW_MX_HS_1u,328.6125,-23.8125,0.0,bottom
SW37,SW_HS,SW_MX_HS_1.5u,4.7625,-42.8625,0.0,bottom
SW38,SW_HS,SW_MX_HS_1u,28.575,-42.8625,0.0,bottom
SW39,SW_HS,SW_MX_HS_1u,47.625,-42.8625,0.0,bottom
SW40,SW_HS,SW_MX_HS_1u,66.675,-42.8625,0.0,bottom
SW41,SW_HS,SW_MX_HS_1u,85.725,-42.8625,0.0,bottom
SW42,SW_HS,SW_MX_HS_1u,104.775,-42.8625,0.0,bottom
SW43,SW_HS,SW_MX_HS_1u,123.825,-42.8625,0.0,bottom
SW44,SW_HS,SW_MX_HS_1u,142.875,-42.8625,0.0,bottom
SW45,SW_HS,SW_MX_HS_1u,161.925,-42.8625,0.0,bottom
SW46,SW_HS,SW_MX_HS_1u,180.975,-42.8625,0.0,bottom
SW47,SW_HS,SW_MX_HS_1u,200.025,-42.8625,0.0,bottom
SW48,SW_HS,SW_MX_HS_1u,219.075,-42.8625,0.0,bottom
SW49,SW_HS,SW_MX_HS_1u,238.125,-42.8625,0.0,bottom
SW50,SW_HS,SW_MX_HS_1.5u,261.9375,-42.8625,0.0,bottom
SW51,SW_HS,SW_MX_HS_1u,290.5125,-42.8625,0.0,bottom
SW52,SW_HS,SW_MX_HS_1u,309.5625,-42.8625,0.0,bottom
SW53,SW_HS,SW_MX_HS_1u,328.6125,-42.8625,0.0,bottom
SW54,SW_HS,SW_MX_HS_1.75u_stp,2.38125,-61.9125,0.0,bottom
SW55,SW_HS,SW_MX_HS_1.75u,7.14375,-61.9125,180.0,bottom
SW56,SW_HS,SW_MX_HS_1u,33.3375,-61.9125,0.0,bottom
SW57,SW_HS,SW_MX_HS_1u,52.3875,-61.9125,0.0,bottom
SW58,SW_HS,SW_MX_HS_1u,71.4375,-61.9125,0.0,bottom
SW59,SW_HS,SW_MX_HS_1u,90.4875,-61.9125,0.0,bottom
SW60,SW_HS,SW_MX_HS_1u,109.5375,-61.9125,0.0,bottom
SW61,SW_HS,SW_MX_HS_1u,128.5875,-61.9125,0.0,bottom
SW62,SW_HS,SW_MX_HS_1u,147.6375,-61.9125,0.0,bottom
SW63,SW_HS,SW_MX_HS_1u,166.6875,-61.9125,0.0,bottom
SW64,SW_HS,SW_MX_HS_1u,185.7375,-61.9125,0.0,bottom
SW65,SW_HS,SW_MX_HS_1u,204.7875,-61.9125,0.0,bottom
SW66,SW_HS,SW_MX_HS_1u,223.8375,-61.9125,0.0,bottom
SW67,SW_HS,SW_MX_HS_1u,254.79375,-61.9125,0.0,bottom
SW68,SW_HS,SW_MX_HS_1u,290.5125,-61.9125,0.0,bottom
SW69,SW_HS,SW_MX_HS_1u,309.5625,-61.9125,0.0,bottom
SW70,SW_HS,SW_MX_HS_1u,328.6125,-61.9125,0.0,bottom
SW71,SW_HS,SW_MX_HS_1u,11.90625,-80.9625,0.0,bottom
SW72,SW_HS,SW_MX_HS_1u,42.8625,-80.9625,0.0,bottom
SW73,SW_HS,SW_MX_HS_1u,61.9125,-80.9625,0.0,bottom
SW74,SW_HS,SW_MX_HS_1u,80.9625,-80.9625,0.0,bottom
SW75,SW_HS,SW_MX_HS_1u,100.0125,-80.9625,0.0,bottom
SW76,SW_HS,SW_MX_HS_1u,119.0625,-80.9625,0.0,bottom
SW77,SW_HS,SW_MX_HS_1u,138.1125,-80.9625,0.0,bottom
SW78,SW_HS,SW_MX_HS_1u,157.1625,-80.9625,0.0,bottom
SW79,SW_HS,SW_MX_HS_1u,176.2125,-80.9625,0.0,bottom
SW80,SW_HS,SW_MX_HS_1u,195.2625,-80.9625,0.0,bottom
SW81,SW_HS,SW_MX_HS_1u,214.3125,-80.9625,0.0,bottom
SW82,SW_HS,SW_MX_HS_1.75u,240.50625,-80.9625,180.0,bottom
SW83,SW_HS,SW_MX_HS_1u,250.03125,-80.9625,0.0,bottom
SW84,SW_HS,SW_MX_HS_1u,266.7,-80.9625,180.0,bottom
SW85,SW_HS,SW_MX_HS_1u,290.5125,-80.9625,0.0,bottom
SW86,SW_HS,SW_MX_HS_1u,309.5625,-80.9625,0.0,bottom
SW87,SW_HS,SW_MX_HS_1u,328.6125,-80.9625,0.0,bottom
SW88,SW_HS,SW_MX_HS_1.25u,2.38125,-100.0125,0.0,bottom
SW89,SW_HS,SW_MX_HS_1.25u,26.19375,-100.0125,0.0,bottom
